0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;Z
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495841;0.34495841;0.34495841;0.34495841;0.34495841; -0.34495841; -0.34495841;0.34495841;200
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;0.34495842;205
0.00000000;0.00000000;0.00000000;0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;0.34495842;210
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;0.34495842;215
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;0.34495843;220
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;0.34495843;225
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;0.34495843;230
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;0.34495843;235
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;0.34495843;240
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;245
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;250
 -0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;255
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;260
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;265
0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;270
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;275
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;280
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;285
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;290
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;295
0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;300
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;305
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;0.34495844;310
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;315
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;320
0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;325
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;330
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;335
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;340
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;345
 -0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;350
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;355
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;0.34495845;360
