a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;Z
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;200
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;205
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;210
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;215
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;220
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;225
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;230
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;235
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;240
0.35266330;0.35266330; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;245
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;250
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;255
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;260
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;265
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;270
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;275
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266327;0.35266327; -0.35266325; -0.35266325;280
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;285
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;290
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;295
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;300
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;305
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;310
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;315
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;320
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;325
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;330
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;335
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;340
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;345
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;350
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;355
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;360
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;365
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;370
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;375
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;380
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;385
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;390
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;395
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;400
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;405
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;410
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;415
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;420
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;425
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;430
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;435
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;440
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;445
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;450
0.35266329;0.35266329; -0.35266328; -0.35266328;0.35266326;0.35266326; -0.35266325; -0.35266325;455
